LakeID,SampleID,Taxon,SpecimenNumber,Length,FrogPopulationType,lake_area_nbr,lake_perimeter_nbr,lake_elevation_nbr,lake_juris_name,lake_north_utm
10090,1107,Acari,1,1.2,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Acari,2,1.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Acari,3,1.5,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Acari,4,1.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Acari,5,1.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Acari,6,1.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,1,7.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,2,11.5,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,3,7.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,4,11.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,5,2.2,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,6,7.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,7,5,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,8,7.2,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,9,5.5,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,10,8.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,11,7.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,12,4.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,13,4.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,14,5.3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,15,4.7,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,16,5.8,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,17,3,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,18,6.9,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,19,3.8,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Chironomidae,20,5.2,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Desmona,1,8.8,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Desmona,2,14.1,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Hesperophylax,1,17.5,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Hydroporus,1,0.9,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Oligochaeta,1,7.2,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Oligochaeta,2,8.5,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Oligochaeta,3,7.4,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Oligochaeta,4,6.6,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
10090,1107,Oligochaeta,5,9.1,Extant,716908,6596,3483,KINGS_CANYON,4109458.51
